Nome da Lista;Nome do Card;Descrição do card;Comentários do Card
Currículo encontrado ; Centro Superior de Ensino e Pesquisa de Machado (CESEP) ; Telefone : (35) 3295-9500 | Site : http://www.fem.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4785492Z3', 'Informações de coordenação obtidas: | Coordenador(a): Giselle Prado Brigante | Email: agronomia@fem.com.br
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais (IFMG) ; Telefone : (31) 2513-5222 | Site : http://www.ifmg.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4257682E8', 'Informações de coordenação obtidas: | Coordenador(a): Fernanda de Lima Barroso | Email: agronomia.sje@ifmg.edu.br | Telefone: (33) 3412-2921', 'Site não acessando | 
Currículo encontrado ; Faculdade Cidade de Coromandel (FCC) ; Telefone : (34) 3841-3408 | Site : http://fcc.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4518905T7', 'Informações de coordenação obtidas: | Coordenador(s): Thiago Silvestre Saraiva | Email: agronomia@fcc.edu.br
Currículo encontrado ; Universidade Estadual de Montes Claros (UNIMONTES) ; Telefone : (38) 3229-8000 | Site : http://www.unimontes.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4733521A5', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Gevaldo Barbosa de Oliveira | Email: campus.janauba@unimontes.br | Telefone: (38) 3821-2344
Currículo encontrado ; Universidade do Estado de Minas Gerais (UEMG) ; Telefone : (32) 3052-3100, (35) 3261-2020, (35) 3529-6000 | Site : http://www.uemg.br/, http://www.uemg.br/unidade.php?id=12 ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4202483T0', 'Coordenador: Prof. Evandro Freire Lemos  | Email: 
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro (IFTM) ; Telefone : (34) 3319-6000 | Site : http://www.iftm.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4769561J5', 'Informações de coordenação obtidas: | Coordenador(a): Ana Carolina Favero | Email: anafavero@iftm.edu.br
Currículo encontrado ; Faculdade Presidente Antônio Carlos de Teófilo Otoni (FUNEES Teófilo Otoni) ; Telefone : (33) 3523-6170 | Site : http://www.unipacto.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4303234H9', 'Informações de coordenação obtidas: | Coordenador(a): Rodolfo Pascal Petrocelli | Email: agronomia@unipacuberlandia.com.br | Telefone: (34) 3291-2100
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais (IFSEMG) ; Telefone : (32) 3257-4100, (32) 4009-3001 | Site : http://www.ifsudestemg.edu.br/, http://www.jf.ifsudestemg.edu.br/, http://www.santosdumont.ifsudestemg.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4275044U6', 'Coordenador: Júlio César Stelmo da Silva.  | Email: agronomia.barbacena@ifsudestemg.edu.br
Currículo encontrado ; Faculdade de Ciências e Tecnologia de Unaí (FACTU) ; Telefone : (38) 3676-6222 | Site : http://www.factu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4261276Y6', 'Informações de coordenação obtidas: | Coordenador(a):Francilene Lima Ferreira | Email: agronomafran@hotmail.com
Currículo encontrado ; Centro Universitário do Planalto de Araxá (UNIARAXÁ) ; Telefone : (34) 3669-2000 | Site : http://site.uniaraxa.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4718669P9', 'Informações de coordenação obtidas: | Coordenador(a): Rafael Tadeu de Assis | Email: rafaelassis@uniaraxa.edu.br
Currículo encontrado ; Centro Universitário de Patos de Minas (UNIPAM) ; Telefone : (34) 3823-0300 | Site : https://www.unipam.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4213308E3', 'Informações de coordenação obtidas: | Coordenador(a): Lucas Da Silva Mendes | Email: lucassm@unipam.edu.br
Currículo encontrado ; Faculdades Associadas de Uberaba (FAZU) ; Telefone : (34) 3318-4188 | Site : https://www.fazu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4213658D1', 'Informações de coordenação obtidas: | Coordenador(a): Dr. Diego Felisbino Fraga | Email do Coordenador: diego.fraga@fazu.br | Email do Curso: agronomia@fazu.br | Ramal da Coordenação: (34) 3318-4118
Currículo encontrado ; Faculdade Ális de Bom Despacho ; Telefone : (37) 3516-1200 | Site : https://www.una.br/unidades/centro-universitario-una-de-bom-despacho/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4261414U7', 'Informações de coordenação obtidas: | Coordenador(a): Rodrigo de Almeida Pontes | Email: rodrigopontes@una.br
Currículo encontrado ; Centro Universitário do Cerrado-Patrocínio (UNICERP) ; Telefone : (34) 3839-3737 | Site : http://www.unicerp.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4797485A9', 'https://www.facebook.com/clauberbarbosa.dealcantara', 'Informações de coordenação obtidas: | Coordenador(a): PROF. DR. CLAUBER BARBOSA DE ALCÂNTARA | 
Currículo encontrado ; Faculdade Vértice (VÉRTICE) ; Telefone : (31) 3873-2199 | Site : http://www.univertix.net/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4794529P5', 'Informações de coordenação obtidas: | Coordenador(a): Profª. D.Sc. Irlane Bastos Costa
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais (IFNMG) ; Telefone : (38) 3201-3050 | Site : http://www.ifnmg.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4759679D3', 'https://www.linkedin.com/in/antonio-clarette-santiago-tavares-13466869/ | ', 'http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4297087Z1', 'Informações de coordenação obtidas: |                                                  Campus Januária | - Nome do Coordenador: Claubert Wagner Guimarães de Menezes | - Email: claubert.menezes@ifnmg.edu.br | - Telefone: (38) 3629 4600 |                                                  Campus Almenara  | - Nome do coordenador: Antonio Clarette Santiago Tavares  | - Email: antonio.tavares@ifnmg.edu.br  
Currículo encontrado ; Centro Universitário do Triângulo (UNITRI) ; Telefone : (34) 4009-9000 | Site : http://unitri.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4234259Y9', 'https://www.linkedin.com/in/andre-sellaro-frigoni-6247055a/', 'https://www.facebook.com/andre.sellarofrigoni', 'Informações de coordenação obtidas: | Coordenador(a): Prof. André Sellaro Frigoni | Email: agronomia@unitri.edu.br | Telefone: (34) 4009-9104 | 
Currículo encontrado ; Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM) ; Telefone : (33) 3529-2700 | Site : http://www.ufvjm.edu.br/ ; Informações de coordenação obtidas: | Coordenador(a): Daniel Ferreira da Silva', 'http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4764210Z5
Currículo encontrado ; Universidade Federal do Triângulo Mineiro (UFTM) ; Telefone : (34) 3700-6000 | Site : http://www.uftm.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4773258Z5', 'https://www.linkedin.com/in/helder-barbosa-paulino-a8a60b22/', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Helder Barbosa Paulino | Email: coord.agronomia.iturama@uftm.edu.br  | Telefone: (34) 3415-2522
Currículo encontrado ; Universidade Vale do Rio Doce (UNIVALE) ; Telefone : (33) 3279-5500 | Site : http://univale.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4251011E6', 'https://www.linkedin.com/in/maykon-dias-cez%C3%A1rio-11005231/', 'Informações de coordenação obtidas: | Coordenador(a): Maykon Dias Cezário | Telefone: (33) 3279-5926
Currículo encontrado ; Universidade Federal de Viçosa (UFV) ; Telefone : (31) 3899-2200 | Site : http://www.ufv.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4779626U0', 'Informações de coordenação obtidas: | Coordenador(a): Leonardo Duarte Pimentel | Email: leonardo.pimentel@ufv.br
Currículo encontrado ; Universidade Federal de Minas Gerais (UFMG) ; Telefone : (31) 3409-5000 | Site : https://www.ufmg.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4206768Z6', 'https://www.facebook.com/alcineimistico.azevedo', 'Informações de coordenação obtidas: | Coordenador(a): ALCINEI MISTICO AZEVEDO | Endereço da coordenação:  | Av. Universitária, INSTITUTO DE CIÊNCIAS AGRÁRIAS - ICA, 1000, JK, 39.404-006, Montes Claros, MG | Telefone: (38) 2101-7746 | E-mail: colgradagro@ica.ufmg.br | Site: http://www.ica.ufmg.br/ica
Currículo encontrado ; Universidade Federal de Lavras (UFLA) ; Telefone : (35) 3829-1122 | Site : http://www.ufla.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4799260P3', 'https://www.linkedin.com/in/valter-carvalho-de-andrade-j%C3%BAnior-5637b4a5/', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Valter Carvalho de Andrade Júnior | Email: valter.andrade@dag.ufla.br | Telefone: (35) 3829-1338
Currículo encontrado ; Universidade Federal de Santa Catarina (UFSC) ; Telefone : (48) 3721-9000 | Site : http://ufsc.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4799404A5', 'Informações de coordenação obtidas: | Coordenador(a):  Prof. Paulo César Poliseli | Email: paulo.poliseli@ufsc.br | Telefone: (48) 3721-5439
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina (IFSC) ; Telefone : (47) 3431-5600, (48) 3211-6000, (48) 3877-9000 | Site : http://florianopolis.ifsc.edu.br/, http://www.ifsc.edu.br/, http://www.joinville.ifsc.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4125833Y9', 'Informações de coordenação obtidas: | Coordenador(a): Adinor José Capellesso | Email: agronomia.smo@ifsc.edu.br | Telefone: (49) 3631-0467
Currículo encontrado ; Universidade do Oeste de Santa Catarina (UNOESC) ; Telefone : (49) 3551-2000 | Site : https://www.unoesc.edu.br/cursos/graduacao ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4764817Z9', 'https://www.linkedin.com/in/marcieli-maccari-898abb7b/', 'https://www.facebook.com/profile.php?id=100006524499315', 'http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4242465J6', 'http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4704350E1', 'https://www.facebook.com/alceu.cericato', 'http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4282491H3', 'Informações de coordenação obtidas: |                                                    Campos novos | - Coordenador(a): Marcio Zilio | - Email: agronomia.cnv@unoesc.edu.br |                                                     Maravilha | - Coordenador(a): Alceu Cericato | - Email: agronomia.mh@unoesc.edu.br |                                                     São José Do Cedro | -Coordenador(a): Claudia Klein | - Email: agronomia.sjc@unoesc.edu.br |                                                      Xanxerê | - Coordenador(a): Marcieli Maccari | - Email: agronomia.xxe@unoesc.edu.br
Currículo encontrado ; Faculdade Concórdia (FACC) ; Telefone : (49) 3444-5006 | Site : http://www.facc.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4723668A2', 'Informações de coordenação obtidas: | Coordenador(a): Laudette Maria Sartoretto
Currículo encontrado ; Centro Universitário Barriga Verde (UNIBAVE) ; Telefone : (48) 3466-5600 | Site : http://www.unibave.net/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4268389A6', 'https://www.linkedin.com/in/janaina-veronezi-alberton-2aa92687/', 'https://www.facebook.com/janaina.veronezi', 'Informações de coordenação obtidas: | Coordenador(a): Profª. Janaina Veronezi Alberton | Email: agronomia@unibave.net | Telefone: (48) 3466-5685
Currículo encontrado ; Fundação Universidade do Estado de Santa Catarina (UDESC) ; Telefone : (48) 3664-8000 | Site : http://www.udesc.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4766452T0', 'Informações de coordenação obtidas: | Coordenador(a):Chefe |  | Cláudio Roberto Franco | E-mail: claudio.franco@udesc.br | Telefone: (49) 3289-9223 |   |  | Subchefe |  | Ricardo Trezzi Casa | E-mail: ricardo.casa@udesc.br | Telefone: (49) 3289-9191 | 
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia Catarinense (IF Catarinense) ; Telefone : (47) 3331-7800 | Site : http://www.ifc.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4708421P9', 'Informações de coordenação obtidas: | Coordenador(a): Luciano Alves\t | Email: agronomia.grad.araquari@ifc.edu.br
Currículo encontrado ; Faculdade Empresarial de Chapecó (FAEM) ; Telefone : (49) 3319-3838 | Site : http://www.uceff.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4766036H4', 'https://www.facebook.com/magdalena.reschkelajustravi', 'https://www.facebook.com/neuri.feldmann', 'Informações de coordenação obtidas: |     |                                                Unidade Itapiranga | - Coordenador(a): Neuri Antonio Feldman | - Email: neuri@uniceff.edu.br |                                                 Unidade Chapecó  | - Coordenador(a): Magdalena Reschke Lajus Travi | - Email: magtravi@uceff.edu.br
Currículo encontrado ; Universidade Comunitária da Região de Chapecó (UNOCHAPECÓ) ; Telefone : (49) 3321-8000 | Site : https://www.unochapeco.edu.br/ ; https://www.facebook.com/fabio.busnello.98', 'http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4217197Y8', 'Informações de coordenação obtidas: | Coordenador(a): Fabio Jose Busnello | Email: agronomia@unochapeco.edu.br
Currículo encontrado ; Universidade Alto Vale do Rio do Peixe (UNIARP) ; Telefone : (49) 3561-6200 | Site : http://www.uniarp.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4705322E9', 'https://www.linkedin.com/in/leandro-hahn-882204a6/', 'https://www.facebook.com/leandro.hahn.3', 'Informações de coordenação obtidas: | Coordenador(a): Leandro Hahn | Email: agronomia@uniarp.edu.br
Currículo encontrado ; Universidade Federal do Acre (UFAC) ; Telefone : (68) 3901-2510 | Site : http://www.ufac.br/ ; https://www.facebook.com/leonardo.barretotavella', 'Coordenador(a): Leonardo Barreto Tavela  | Currículo: http://lattes.cnpq.br/0587163762109580 | Contato: 3311-2502  |  Email: enghmf@hotmail.com
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia de Alagoas (IFAL) ; Telefone : (82) 2126-7000 | Site : https://www2.ifal.edu.br/campus/site/campus_maceio/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4739554A8', 'Coordenador(a): Adelmo Lima Bastos | Email: adelmo.bastos@ifal.edu.br | 
Currículo encontrado ; Universidade Federal do Amazonas (UFAM) ; Telefone : (92) 3305-1480 | Site : https://ufam.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4766540Y0', 'https://www.facebook.com/ernesto.oliveiraserrapinto', 'Coordenador(a): Ernesto Oliveira Serra Pinto | Email: fca@ufam.edu.br | Telefone: (92) 3305-1798
Currículo encontrado ; Faculdade São Francisco de Barreiras (FASB) ; Telefone : (77) 3613-8801 | Site : http://www.fasb.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4127260E4', 'https://www.linkedin.com/in/jorge-da-silva-j%C3%BAnior-0b135625/', 'Informações de coordenação obtidas: | Coordenador(a): Jorge da Silva Júnior | Email: julianne@fasb.edu.br | Telefone: (77) 3613-8844
Currículo encontrado ; Faculdade Pitágoras de Teixeira de Freitas (PIT TEIXEIRA) ; Telefone : (73) 3011-8300 | Site : http://www.faculdadepitagoras.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4709859E0', 'http://buscatextual.cnpq.br/buscatextual/busca.do', 'Informações de coordenação obtidas: | Coordenador: Daniel Camara Barcellos | Email: daniel.barcellos@live.com
Currículo encontrado ; Faculdade Arnaldo Horácio Ferreira (FAAHF) ; Telefone : (77) 3628-9900 | Site : http://faahf.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4462798U3', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Dr. José Rafael de Souza | Email: coordenacaoagronomia@faahf.edu.br | Telefone: (77) 3628-9900 | 
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia Baiano (IFBAIANO) ; Telefone : (71) 3186-0001, (75) 3641-5270, (77) 3481-3210 | Site : http://www.ifbaiano.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4234339P1', 'Informações de coordenações obtidas: | Coordenador(a): Leandro Santos Peixouto  | Email: leandro.peixouto@guanambi.ifbaiano.edu.br
Currículo encontrado ; Faculdade do Nordeste da Bahia (FANEB) ; Telefone : (75) 3286-2268 | Site : http://www.faneb.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4737055P3', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Me. Júlio Renovato dos Santos  | Email: coordenacaoagronomia@faneb.com.br
Currículo encontrado ; Universidade Estadual de Feira de Santana (UEFS) ; Telefone : (75) 3161-8668 | Site : https://coopsiuefs.wixsite.com/website ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4775520U7', 'Coordenação do Colegiado:  | Profª. Marilza Neves do Nascimento | Fone:  | (75) 3161-8601  | E-mail:  | colagro@uefs.br 
Currículo encontrado ; Universidade Estadual de Santa Cruz (UESC) ; Telefone : (73) 3680-5200 | Site : http://www.uesc.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4463314D6', 'https://www.linkedin.com/in/luis-carlos-cirilo-carvalho-4a41a0170/', 'https://www.facebook.com/luiscarlos.cirilocarvalho', 'Coordenador: LUIS CARLOS CIRILO CARVALHO\t | Email: lccc.87.ufla@hotmail.com | Telefone: (73) 3680-5259
Currículo encontrado ; Universidade Federal do Oeste da Bahia (UFOB) ; Telefone : (77) 3614-3500 | Site : http://www.ufob.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4702204U8', 'Coordenador: Prof. Dr. Cícero Renê Almeida Barboza Júnior\t | Email: cicero.barboza@ufob.edu.br\t | Telefone: (74) 3662 - 5108
Currículo encontrado ; Universidade Estadual do Sudoeste da Bahia (UESB) ; Telefone : (77) 3261-8450 | Site : http://www.uesb.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4785044U1', 'Coordenador(a): Valdemiro Conceição Junior | Email: miroconceicao@hotmail.com | Telefone: (77) 3424-8675
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Ceará (IFCE) ; Telefone : (85) 3307-3681, (85) 3401-2302, (85) 3401-2500 | Site : http://www.ifce.edu.br/, http://www.ifce.edu.br/fortaleza, https://ifce.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4718264U7', 'Coordenador(a): Arilene Franklin Chaves | Email: arilenefc@ifce.edu.br
Currículo encontrado ; Universidade Federal do Cariri (UFCA) ; Telefone : (88) 3221-9200 | Site : http://www.ufca.edu.br/portal/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4777643U4', 'Coordenador(a): Felipe Thomaz da Camara | Fone: (88)3521 7364 | E-mail:  coordadm@cariri.ufc.br | Vinculação: Campus Cariri
Currículo encontrado ; Universidade da Integração Internacional da Lusofonia Afro-Brasileira (UNILAB) ; Telefone : (85) 3332-1414 | Site : http://www.unilab.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4778583D2', 'Coordenadora – SUSANA CHURKA BLUM | Vice Coordenadora – FERNANDA SCHNEIDER | Auxiliar administrativo – MADELINE MAIA | E-mail: coordagronomia@unilab.edu.br | Telefone: (85) 3332 6331
Currículo encontrado ; Universidade de Brasília (UNB) ; Telefone : (61) 3107-3300 | Site : http://www.unb.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4796306J6', 'Francisco Faggion | Email: faggion@unb.br
Currículo encontrado ; Faculdades Integradas da Upis (UPIS) ; Telefone : (61) 3445-6767 | Site : http://www.upis.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4796508P6', 'Coordenador(a): Janine Tavares Camargo | Email: agronomia@upis.br
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo (IFES) ; Telefone : (27) 3357-7500 | Site : https://www.ifes.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4775671Y3', 'Informações de coordenação obtidas: | Coordenador(a): Antonio Resende Fernandes  /  Antônio Fernando de Souza | Email: agronomia.st@ifes.edu.br | Telefone: (27) 3259-7878  /  (27) 3259-7892
Currículo encontrado ; Universidade Federal do Espírito Santo (UFES) ; Telefone : (27) 4009-2222 | Site : http://www.ufes.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4767676Y3', 'Informações de coordenação obtidas: | Coordenador(a): Fábio Luiz de Oliveira    | Email:  fabiocapi@yahoo.com.br | Telefone: (28) 99271- 9446 | Ramal: 8677
Currículo encontrado ; Centro Universitário de Desenvolvimento do Centro-Oeste (UNIDESC) ; Telefone : (61) 3878-3100 | Site : http://www.unidesc.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4267120T0', 'Informações de coordenação obtidas: | Coordenador(a): Prof. MsC Marcello Augusto Dias da Cunha | Email: coord.agronomia@unidesc.br
Currículo encontrado ; Faculdade Montes Belos (FMB) ; Telefone : (64) 3671-2814 | Site : http://faculdademontesbelos.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4574699A3', 'Informações de coordenação obtidas: | Coordenador(a): Prof. Me. Antônio Florentino de Lima Júnior | Email: agronomia@fmb.edu.br | 
Currículo encontrado ; Centro Universitário de Mineiros (UNIFIMES) ; Telefone : (64) 3672-5100 | Site : http://www.fimes.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K8105710T6', 'Informações de coordenação obtidas: | Coordenador(a): Márcia Maria de Paula | Email: marcia@unifimes.edu.br  | Telefone: (64)3661-4074 | 
Currículo encontrado ; Centro Universitário de Goiás (UNI-ANHANGÜERA) ; Telefone : (62) 3246-1400 | Site : http://www.anhanguera.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4723312Y4', 'Informações de coordenação obtidas: | Coordenador(a): Doutor(a) Luciana Domingues Bittencourt Ferreira | Email: luciana.domingues@anhanguera.edu.br | Telefone: (62) 3246-1471
Currículo encontrado ; Instituto de Ensino Superior de Rio Verde (IESRIVER) ; Telefone : (64) 3624-2600 | Site : http://faculdadeobjetivo.com.br/?site=ok ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4297919J7', 'Informações de coordenação obtidas: | Coordenador(a): Profª. Ms. Leonnardo Cruvinel Furquim | Email:  leonnardo@faculdadeobjetivo.com.br | Telefone: (64) 3624-2620
Currículo encontrado ; Universidade de Rio Verde (FESURV) ; Telefone : (64) 3611-2200 | Site : http://www.unirv.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4742497Y1', 'Informações de coordenação obtidas: | Coordenador(a): Takeshi Kamada | Email: kamada@unirv.edu.br | Telefone: (64) 3611-2278
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia Goiano (IF Goiano) ; Telefone : (62) 3307-7100 | Site : http://www.ifgoiano.edu.br/ceres/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4732371A6', 'Informações de coordenação obtidas: | Coordenador(a): Renato Souza Rodovalho | Email: agronomia.ce@ifgoiano.edu.br
Currículo encontrado ; Faculdade Evangélica de Goianésia ; Telefone : (62) 3353-6260 | Site : http://www.evangelicagoianesia.edu.br/faceg/pesquisa/grupos-de-pesquisa/sedmo-2/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4793455Z6', 'Informações de coordenação obtidas: | Coordenador(a): Drª. Eliane Divina de Toledo | Email: agronomia@evangelicagoianesia.edu.br | Telefone: (62) 3389-7350
Currículo encontrado ; Faculdade Quirinópolis (FAQUI) ; Telefone : (64) 3651-4680 | Site : http://www.faculdadequirinopolis.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4736611A6', 'Informações de coordenação obtidas: | Coordenador(a): Fernando Lima
Currículo encontrado ; Universidade Federal de Goiás (UFG) ; Telefone : (62) 3521-1000 | Site : https://www.ufg.br/p/6419-campus-samambaia-campus-ii-goiania ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4774453Y3', 'Informações de coordenação obtidas: | Coordenador(a): Drª. Rita Maria Devós Ganga | Email: agrocoordena@gmail.com | Telefone: (62) 3521-1540 
Currículo encontrado ; Faculdade Santa Rita de Cássia (IFASC) ; Telefone : (64) 3404-9020 | Site : http://www.ifasc.com.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K8111603D1', 'Informações de coordenação obtidas: | Coordenador(a): Tatiana Carvalho Faria | Email: 
Currículo encontrado ; Universidade Estadual de Goiás (UEG) ; Telefone : (62) 3277-2989, (62) 3328-1192, (64) 3453-2310 | Site : http://www.ueg.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4268090Z7', 'Coordenador(a): Profª Héria de Freitas Teles | Email: agronomia.palmeiras@ueg.br |  
Currículo encontrado ; Faculdade Metropolitana de Anápolis (FAMA) ; Telefone : (62) 3310-0000 | Site : http://www.faculdadefama.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4242511Y7', 'Informações de coordenação obtidas: | Coordenador(a): Vinícius Almeida Oliveira | Email: vinicius.oliveira@faculdadefema.edu.br | 
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia do Maranhão (IFMA) ; Telefone : (98) 3215-1701 | Site : http://www.ifma.edu.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4138512T1', 'Coordenação do Curso de Bacharelado em Agronomia | Coordenadora: Prof. Dr. Daniel Barbosa Araújo – daniel.araujo@ifma.edu.br
Currículo encontrado ; Universidade Federal do Maranhão (UFMA) ; Telefone : (98) 3272-8000 | Site : http://www.ufma.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4732938D0', 'JAMES RIBEIRO DE AZEVEDO\tCoordenação\t9832729913\tjamesazevedo@ufma.br
Currículo encontrado ; Universidade do Estado de Mato Grosso (UNEMAT) Alta Floresta, ; Telefone : (66) 3521-4991 | Site : http://www.unemat.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4480173H4 | ', 'Coordenador do curso: Prof. Dr. Gustavo Caione | Telefone: (66) 3521-4991 | Email: agronomia.afl@unemat.br
Currículo encontrado ; Universidade de Cuiabá (UNIC / PITÁGORAS) ; Telefone : (65) 3363-1217 | Site : http://www.unic.br/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4292228Z4', 'Informações de coordenação obtidas: | Coordenador(a): Clodoaldo Moreno da Paixão | Email: | Telefone: (65) 3363-1217 | Não passaram o email | 
Currículo encontrado ; Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso (IFMT) Campo Verde ; Telefone : (65) 3341-2176 | Site : http://svc.ifmt.edu.br/conteudo/pagina/curso-bacharelado-em-agronomia-campo-verde-noturno/ ; http://buscatextual.cnpq.br/buscatextual/visualizacv.do?id=K4202742T7', 'Informações de coordenação obtidas: | Coordenador(a):Fernanda Martins Dias | Email: fernanda.dias@svc.ifmt.edu.br | Telefone: (65) 3341-2176
